id,commune,opening_hours
1320,"Cité du 20 Août  - حي 20 أوت ، Skikda","dimanche: 08:30–12:0013:30–16:30"
1322,"Constantine","dimanche: 08:00–18:00"
1323,"Maghnia","dimanche: 09:00–17:00"
1324,"Birkhadem","dimanche: 09:00–18:00"
1325,"Constantine","Non renseigné"
1326,"Annaba","Non renseigné"
1327,"Bir Mourad Raïs","Non renseigné"
1328,"Constantine","dimanche: 09:00–17:00"
1329,"Constantine","dimanche: 08:30–16:00"
133,"Gué de Constantine","dimanche: 09:00–17:00 | lundi: 09:00–17:00 | mardi: 09:00–17:00 | mercredi: 09:00–17:00 | jeudi: 09:00–17:00 | vendredi: Fermé | samedi: 09:00–17:00"
1330,"El Biar","dimanche: 09:00–00:00"
1331,"Sidi MHamed","Non renseigné"
1332,"Annaba","dimanche: 09:00–16:00"
1333,"Skikda","dimanche: Ouvert 24h/24"
1334,"Cite anasser 2 (sorecal) bt b 13، Alger","dimanche: 13:30–17:00"
1335,"Sidi MHamed","dimanche: 08:30–16:00"
1336,"Mohammadia","Non renseigné"
1337,"Es Sebt","dimanche: 11:00–17:00"
1338,"Dély Ibrahim","dimanche: 09:00–19:00"
134,"Bir El Djir","Non renseigné"
1340,"El Biar","dimanche: 08:00–17:00"
1341,"Sétif","dimanche: 09:30–16:00"
1342,"Annaba","dimanche: 08:30–16:00"
1344,"Setif","dimanche: 08:30–15:00"
1345,"ALGER","dimanche: 09:00–17:00"
1346,"Alger Centre","dimanche: 10:00–19:00 | lundi: 10:00–19:00 | mardi: 10:00–19:00 | mercredi: 10:00–19:00 | jeudi: 10:00–19:00 | vendredi: 10:00–19:00 | samedi: 10:00–19:00"
1347,"Bir Mourad Raïs","dimanche: 09:00–18:00"
1348,"El Biar","dimanche: 09:00–17:00"
1349,"El Khroub","dimanche: 08:00–17:00"
1351,"Sétif","dimanche: 09:00–17:00"
1352,"","Non renseigné"
1353,"Constantine","dimanche: 08:30–17:00"
1354,"Constantine","dimanche: 08:30–16:00"
1356,"El Harrach","dimanche: 08:30–17:00"
1357,"Annaba","dimanche: 08:00–17:00"
1359,"Setif","dimanche: 09:00–17:00"
136,"Batna","dimanche: 08:00–16:00"
1360,"Hydra","dimanche: 08:30–23:00"
1361,"Constantine","dimanche: 09:00–16:30"
1362,"Constantine","Non renseigné"
1363,"Sétif","dimanche: 08:30–21:00 | lundi: 08:30–21:00 | mardi: 08:30–21:00 | mercredi: 08:30–21:00 | jeudi: 08:30–21:00 | vendredi: 15:00–21:00 | samedi: 08:30–21:00"
1364,"Constantine","Non renseigné"
1366,"Skikda","Non renseigné"
1367,"Bachdjerah","dimanche: 09:00–20:00"
1368,"Setif","dimanche: 08:30–12:3013:30–17:00"
1369,"Hydra","Non renseigné"
137,"Bir El Djir","dimanche: 09:00–18:00"
1370,"Sétif","Non renseigné"
1371,"Sétif","dimanche: 08:00–22:30"
1372,"Azzaba","dimanche: 08:00–03:00"
1373,"Alger Centre","Non renseigné"
1374,"El Khroub","dimanche: 08:00–18:00"
1375,"Bir Mourad Raïs","dimanche: Ouvert 24h/24"
